Dự án,Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình chung cư,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Nhóm 2-Công viên,Nhóm 2-Bể bơi,Nhóm 2-Gym,Slot ô tô,Nhà thoáng,Hiện đại,Bán gấp,Lô góc,Hỗ trợ vay,Tầng
KĐT Xa La,Phùng Hưng,Phúc La,Hà Đông,Nội thành,Tin thường,38991751,63.0,19.8,,,2.0,2.0,Sổ đỏ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Legend Tower 109 Nguyễn Tuân,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,38885649,100.0,50.0,,,,,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Ecolife Capitol,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,38846005,111.2,44.1,Đông - Bắc,Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,0,0,1,0,
The Canopy Residences - Vinhomes Smart City,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39201002,66.4,63.0,Tây - Bắc,Đông - Nam,2.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,1,0,1,1,0,0,0,1,
HC Golden City,Hồng Tiến,Bồ Đề,Long Biên,Nội thành,Tin thường,39203834,102.0,Thỏa thuận,,,3.0,2.0,,,Chung cư,1,0,1,1,0,1,0,0,0,0,0,0,
Chung cư Đường Nguyễn Văn Huyên,Nguyễn Văn Huyên,Nghĩa Đô,Cầu Giấy,Nội thành,Tin thường,39029648,121.0,49.2,,,3.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,0,1,0,0,1,0,0,0,0,0,
Cầu Giấy Center Point,Cầu Giấy,Quan Hoa,Cầu Giấy,Nội thành,Tin thường,38829871,127.0,Thỏa thuận,,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,1,0,0,1,1,0,0,0,0,1,0,
Sun Grand City Ancora Residence,Lương Yên,Bạch Đằng,Hai Bà Trưng,Nội thành,Tin thường,39151682,80.0,87.5,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,1,0,0,0,
D. El Dorado,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,Nội thành,Tin thường,39093081,45.0,60.0,,,,,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,1,0,0,1,0,0,1,0,Cao
FLC Landmark Tower,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,38912580,159.0,32.1,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
HP Landmark Tower,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39110415,146.0,Thỏa thuận,,,4.0,,,,Chung cư,1,0,1,0,0,0,0,1,0,0,0,0,
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,Nội thành,Tin thường,38393910,91.26,39.4,Tây - Nam,Đông - Bắc,3.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,1,1,0,0,0,1,0,0,0,0,0,1,
Đền Lừ II,Đền Lừ,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,38205099,54.0,36.7,Tây - Bắc,Đông - Nam,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,1,0,1,0,
Sky Park Residence,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,39175369,300.0,66.7,,,5.0,,,,Chung cư,0,0,0,0,0,0,0,1,1,0,0,0,
Làng Quốc tế Thăng Long,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,38247489,97.6,54.3,Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Không nội thất,Chung cư,1,1,0,0,0,0,0,0,0,0,0,1,
N01-T7 Ngoại Giao Đoàn,Nguyễn Văn Huyên,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,32861021,104.0,Thỏa thuận,Tây,Đông,3.0,2.0,,,Chung cư,0,1,0,0,1,0,1,1,1,0,1,0,Trung
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39141298,59.0,29.7,,,2.0,1.0,Sổ đỏ,Cơ bản.,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Vinhomes D'Capitale,Trần Duy Hưng,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,39155339,72.0,79.2,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Vinhomes West Point,Phạm Hùng,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39182371,70.0,Thỏa thuận,Đông - Nam,Tây - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Cao
The Miami,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39158046,45.6,62.3,Đông - Nam,Đông - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,Chung cư,0,0,0,0,1,0,0,0,1,0,0,0,Trung
Chung cư Phố Chùa Bộc,Chùa Bộc,Quang Trung,Đống Đa,Nội thành,Tin thường,37881952,56.0,16.1,Đông,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,1,0,0,0,0,0,0,1,0,0,0,
C14 - Bộ Công An,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,39129463,110.0,36.4,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Feliz Homes,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,39134528,76.0,51.3,,,2.0,2.0,Hợp đồng mua bán,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Chung cư Đại Thanh,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,Ngoại thành,Tin thường,38837425,39.0,26.4,Đông - Nam,Tây - Bắc,1.0,1.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Hinode City,Minh Khai,Minh Khai,Hai Bà Trưng,Nội thành,Tin thường,39151473,77.0,70.0,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,1,0,0,1,0,1,0,1,0,0,0,
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,37024124,145.0,Thỏa thuận,Tây - Bắc,Đông - Nam,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Yên Hòa,Trần Kim Xuyến,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39187912,90.0,50.0,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Chung cư Đường Giải Phóng,Giải Phóng,Giáp Bát,Hoàng Mai,Nội thành,Tin thường,35828858,32.0,19.7,,,1.0,1.0,,,Chung cư,1,0,0,0,0,0,0,1,0,0,0,0,
PCC1 Complex,Ba La,Phú Lương,Hà Đông,Nội thành,Tin thường,38585855,67.0,Thỏa thuận,Tây,Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
The Zen Residence,Pháp Vân,Trần Phú,Hoàng Mai,Nội thành,Tin thường,39167854,98.0,Thỏa thuận,,,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ,Chung cư,1,1,0,1,1,1,0,1,0,0,0,0,Trung
N04B Ngoại Giao Đoàn,,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,37554072,115.0,47.8,,Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,1,0,0,0,1,1,1,0,0,0,
N04A Ngoại Giao Đoàn,,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,39185942,68.0,Thỏa thuận,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Hà Thành Plaza,102  Thái Thịnh,Thịnh Quang,Đống Đa,Nội thành,Tin thường,33934898,146.0,41.1,,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
An Bình Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39175921,85.0,56.5,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,0,0,0,0,
Hà Thành Plaza,Thái Thịnh,Thịnh Quang,Đống Đa,Nội thành,Tin thường,39167552,115.0,Thỏa thuận,,,2.0,2.0,,,Chung cư,1,1,1,0,0,0,0,1,0,0,0,0,
C3 Lê Văn Lương (Golden Palace),Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,38661347,245.0,49.0,Tây - Bắc,Đông - Nam,5.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,1,0,0,0,1,0,
ParkCity Hà Nội,Lê Trọng Tấn,La Khê,Hà Đông,Nội thành,Tin thường,38828452,135.0,65.2,Tây - Bắc,Đông - Nam,4.0,3.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,38424081,106.0,73.6,,Đông - Nam,3.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Ngọc Khánh Plaza,Phạm Huy Thông,Ngọc Khánh,Ba Đình,Ngoại thành,Tin thường,39142660,160.0,50.0,,,3.0,,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,Ngoại thành,Tin thường,38961630,148.0,27.0,,Đông - Nam,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Masteri West Heights,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,38985474,52.0,63.5,Đông - Bắc,Đông - Nam,2.0,1.0,Hợp đồng mua bán,Đầy đủ,Chung cư,1,0,0,1,0,0,1,1,0,0,0,1,Trung
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,38684780,85.7,36.2,Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ chính chủ.,,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
Eurowindow River Park,5,Đông Hội,Đông Anh,Ngoại thành,Tin thường,39159391,82.0,32.6,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,1,1,0,0,1,0,0,0,0,
Imperia Smart City,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39016106,43.0,53.5,,,,,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Tây Hồ River View,An Dương Vương,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38584509,62.0,48.4,Đông - Bắc,Tây - Nam,2.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Cao
113 Trung Kính,Trung Kính,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39142734,110.0,40.9,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Lumi Hanoi,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,38760282,120.0,Thỏa thuận,,,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,1,0,0,0,0,0,0,0,0,
Xuân Mai Complex,Tố Hữu,Yên Nghĩa,Hà Đông,Nội thành,Tin thường,39175427,80.0,37.5,Tây - Nam,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,Trung
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,Nội thành,Tin thường,38800607,53.5,Thỏa thuận,,,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Trung
Ha Do Park View,Duy Tân,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,38229959,145.0,48.3,,Đông - Nam,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
The Pavilion - Vinhomes Ocean Park,Lý Thánh Tông,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38122302,67.1,52.2,,,2.0,2.0,Hợp đồng mua bán,Cơ bản.,Chung cư,0,0,1,1,1,1,1,1,1,0,0,0,
Artex Building 172 Ngọc Khánh,Ngọc Khánh,Giảng Võ,Ba Đình,Ngoại thành,Tin thường,39174160,155.0,44.5,,,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Thanh Hà Mường Thanh,,Kiến Hưng,Hà Đông,Nội thành,Tin thường,37540632,70.0,14.3,,,,,Hợp đồng mua bán,,Chung cư,0,0,0,0,1,0,0,1,0,0,1,0,
Hồ Gươm Plaza,Trần Phú,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39176449,123.0,40.7,,,3.0,2.0,Sổ đỏ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Roman Plaza,Tố Hữu,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39131369,189.0,58.2,,,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,1,1,0,0,1,0,0,0,
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,36683313,114.0,42.0,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản.,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Ecolife Capitol,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,39193730,103.0,46.6,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,1,1,
KĐT Vĩnh Hoàng,Vĩnh Hoàng,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,34636029,72.0,38.9,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,1,0,0,0,0,0,1,0,0,0,0,
Rose Town,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,39108381,104.4,44.1,,,2.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Chung cư Đường Phạm Ngọc Thạch,Phạm Ngọc Thạch,Kim Liên,Đống Đa,Nội thành,Tin thường,38864904,55.0,15.0,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
PCC1 Complex,Ba La,Phú Lương,Hà Đông,Nội thành,Tin thường,39207586,54.2,Thỏa thuận,Đông,Tây,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
TĐC Hoàng Cầu,Hoàng Cầu,Ô Chợ Dừa,Đống Đa,Nội thành,Tin thường,39139117,67.0,50.0,,,2.0,2.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Cao
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,37943020,66.0,54.5,,,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
KĐT Xa La,Phùng Hưng,Phúc La,Hà Đông,Nội thành,Tin thường,39158868,84.0,32.5,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Imperia Smart City,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,38265337,55.0,65.5,Tây - Nam,Đông - Bắc,2.0,1.0,Hợp đồng mua bán.,Cơ bản.,Chung cư,0,0,0,1,0,0,0,1,1,0,0,0,Thấp
Nhà ở xã hội @Home,Tam Trinh,Yên Sở,Hoàng Mai,Nội thành,Tin thường,37901517,67.0,35.1,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà tập thể,0,0,0,0,0,0,1,1,1,0,0,0,
GoldSeason,47  Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,32626923,167.0,71.9,Đông - Bắc,Đông - Nam,4.0,3.0,,Full nt,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,Nội thành,Tin thường,39137584,160.0,37.5,,,4.0,3.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Cao
D’. El Dorado,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,Nội thành,Tin thường,35479359,43.0,58.1,,Đông - Bắc,1.0,1.0,,Full nội thất,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Cao
N03-T3&T4 Ngoại Giao Đoàn,,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,39139814,132.6,64.1,,,3.0,2.0,,,Chung cư,0,0,0,1,0,0,0,1,0,0,1,0,Trung
KĐT Xa La,Xa La,Phúc La,Hà Đông,Nội thành,Tin thường,39181976,104.0,30.7,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,38554698,71.0,63.4,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Chung cư,0,0,0,0,1,0,1,1,0,0,0,0,
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,39199013,76.12,59.8,Tây - Nam,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,Trung
Tòa nhà 197 Trần Phú,Trần Phú,Văn Quán,Hà Đông,Nội thành,Tin thường,39140338,89.0,34.3,Tây - Nam,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39152411,33.5,31.9,,,1.0,1.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
KĐT Xa La,Phùng Hưng,Phúc La,Hà Đông,Nội thành,Tin thường,38992591,63.0,35.4,Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
KĐT Cổ Nhuế,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,Nội thành,Tin thường,35537029,73.0,43.2,,,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Lumi Hanoi,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39176789,42.2,66.0,Tây - Bắc,Đông - Nam,1.0,1.0,Hợp đồng mua bán,Cơ bản.,Chung cư,0,0,0,0,0,0,0,0,1,0,0,1,
The Zei Mỹ Đình,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,38665460,98.0,40.8,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,1,0,0,0,
Việt Hưng,,Đức Giang,Long Biên,Nội thành,Tin thường,39069659,75.0,29.2,Tây - Bắc,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,1,1,1,1,0,0,0,1,1,0,1,0,
KĐTM Dương Nội,Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,28456135,79.0,36.1,,,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,1,
Mipec City View,,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39181748,68.9,Thỏa thuận,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,1,Trung
Hyundai Hillstate,Tô Hiệu,Hà Cầu,Hà Đông,Nội thành,Tin thường,39030890,139.0,Thỏa thuận,Đông - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ vĩnh viễn,Đồ cơ bản,Chung cư,0,0,0,1,0,0,0,0,0,0,0,0,Trung
C7 Giảng Võ,Trần Huy Liệu,Giảng Võ,Ba Đình,Ngoại thành,Tin thường,37810035,80.0,Thỏa thuận,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
D’. Le Roi Soleil,Xuân Diệu,Quảng An,Tây Hồ,Nội thành,Tin thường,39171375,146.0,70.0,,,3.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
Berriver Long Biên,Nguyễn Văn Cừ,Bồ Đề,Long Biên,Nội thành,Tin thường,37723671,125.0,52.0,,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Cao
An Hưng,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39187156,97.0,43.3,Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39100854,80.0,33.1,Đông - Nam,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,1,1,
Chung cư Đường Đội Cấn,Đội Cấn,Đội Cấn,Ba Đình,Ngoại thành,Tin thường,36107112,26.0,Thỏa thuận,,,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,0,1,0,0,0,0,0,0,0,0,
Hà Nội Homeland,,Thượng Thanh,Long Biên,Nội thành,Tin thường,39153395,93.0,40.9,,,3.0,2.0,Sổ đỏ/ Sổ hồng,"Đầy đủ, xịn.",Chung cư,1,1,0,0,0,0,0,1,1,0,1,0,Cao
Tháp doanh nhân Tower,Thanh Bình,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39156066,61.0,32.8,,,2.0,2.0,,,Chung cư,0,1,0,0,0,0,0,1,0,0,0,0,
Sunshine City,23,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,39067023,105.0,47.6,Bắc,Đông,3.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
The Miami,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39197862,45.4,57.3,,,1.0,1.0,,,Chung cư,0,0,0,0,1,0,0,1,0,0,0,0,
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39177462,46.5,34.8,Đông - Bắc,Đông - Bắc,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,0,1,0,0,1,0,0,0,0,Trung
D’. Le Roi Soleil,Xuân Diệu,Quảng An,Tây Hồ,Nội thành,Tin thường,36616761,110.0,59.1,,,3.0,3.0,Sổ đỏ,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Cao
KĐT Văn Quán,Nguyễn Khuyến,Phúc La,Hà Đông,Nội thành,Tin thường,37368255,79.0,Thỏa thuận,,,2.0,1.0,Sổ đỏ,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
D’. Le Roi Soleil,Xuân Diệu,Quảng An,Tây Hồ,Nội thành,Tin thường,38904190,88.0,71.6,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,0,0,0,0,Trung
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,Nội thành,Tin thường,39105622,56.0,32.1,,,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Diamond Flower Tower,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39167827,116.0,51.7,Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
Chung cư NO-08 Giang Biên,,Giang Biên,Long Biên,Nội thành,Tin thường,39111469,65.0,40.0,,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ đồ đạc cơ bản đầy đủ.,Chung cư,1,1,1,0,0,0,0,1,1,0,0,0,
Văn Khê,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39139427,139.0,25.5,Tây - Nam,Đông - Bắc,3.0,2.0,,"Sàn gỗ, trần thạch cao giật cấp các phòng, tủ bếp, bếp, hút mùi, tủ quần áo, tủ giày, kệ tivi, 4 điều hòa, nóng lạnh, rèm, lưới an toàn...",Chung cư,1,0,1,1,0,0,0,1,0,0,0,0,
HH4 Linh Đàm,Linh,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,39160054,54.0,31.9,,,2.0,1.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,Thấp
Dream Town,Tây Mỗ,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39088338,122.4,31.8,,,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Nam Xa la,,Phúc La,Hà Đông,Nội thành,Tin thường,39172045,91.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
The Zenpark,Đông Dư,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39189560,81.9,43.8,Tây - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,1,1,1,1,1,0,1,0,1,1,
