Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng ban công,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Công viên,Loại ngõ,Vỉa hè,Bán gấp,Sân phơi,Nhà thoáng,Gần hồ,An ninh,Hiện đại,Chỗ để xe,Thang máy,Lô góc,Hỗ trợ vay
,Phú Đô,Nam Từ Liêm,Nội thành,Tin thường,39162714,60.0,Thỏa thuận,,,,,,4.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
21B,Bích Hòa,Thanh Oai,Ngoại thành,Tin thường,39221557,43.0,Thỏa thuận,4.0,15.0,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,Nhỏ,0,1,0,0,0,0,0,0,0,0,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39205033,90.0,Thỏa thuận,,,,,5.0,,,Khác,Khác,Biệt thự,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,0
Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,38917830,320.0,Thỏa thuận,30.0,10.0,,,3.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,Nhỏ,1,0,0,0,0,0,1,0,0,1,0
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38038568,180.0,Thỏa thuận,,,,Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,1,1,0,0,0,1,0,0
Văn Tiến Dũng,Xuân Phương,Nam Từ Liêm,Nội thành,Tin thường,25378012,90.0,Thỏa thuận,6.0,40.0,Đông - Nam,Tây - Bắc,4.0,5.0,4.0,Hợp đồng mua bán,Nội thất cơ bản,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tân Mai,Tân Mai,Hoàng Mai,Nội thành,Tin thường,39181904,48.0,Thỏa thuận,3.9,9.0,,,6.0,6.0,6.0,Khác,Khác,Nhà riêng,0,0,0,0,Nhỏ,0,0,0,0,0,0,1,1,1,1,0
Ngọc Thụy,Ngọc Thụy,Long Biên,Nội thành,Tin thường,39158376,128.0,Thỏa thuận,6.0,,,,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,1,0,0,0,0,0,0,1,1,0,0
Sao Biển,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39183006,70.0,Thỏa thuận,5.0,15.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Giảng Võ,Kim Mã,Ba Đình,Nội thành,Tin thường,38110309,228.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,0,0,1,0,,0,0,0,0,1,0,0,1,1,0,0
,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39198024,150.0,Thỏa thuận,8.4,15.0,Tây - Bắc,Tây - Bắc,3.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Đại lộ Thăng Long,An Thượng,Hoài Đức,Ngoại thành,Tin thường,38574637,290.0,Thỏa thuận,15.0,15.0,Đông - Nam,Đông - Nam,3.0,5.0,3.0,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0
Kiến Hưng,Kiến Hưng,Hà Đông,Nội thành,Tin thường,19437350,100.0,Thỏa thuận,5.0,,,Tây - Nam,,,,Khác,Khác,Biệt thự,1,0,0,1,,0,1,0,0,1,0,0,0,0,0,1
Nguyễn Phong Sắc,Nghĩa Đô,Cầu Giấy,Nội thành,Tin thường,39161892,43.0,Thỏa thuận,,,,,5.0,6.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,Nhỏ,0,0,1,1,0,1,0,0,0,0,0
Xuân La,Xuân La,Tây Hồ,Nội thành,Tin thường,39224520,75.0,Thỏa thuận,5.0,8.0,,,4.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,Nhỏ,1,0,1,0,1,0,0,1,1,0,0
Phan Đình Phùng,Quán Thánh,Ba Đình,Nội thành,Tin thường,38413635,80.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,Rộng,0,1,0,0,0,0,1,0,0,1,0
Khương Trung,Khương Trung,Thanh Xuân,Nội thành,Tin thường,38747335,108.0,Thỏa thuận,5.65,,,,4.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,1,1,0,0,,0,0,1,1,0,0,1,0,0,0,0
Xuân Đỉnh,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,37718583,312.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Nguyễn Trực,Phú Lãm,Hà Đông,Nội thành,Tin thường,39163074,62.0,Thỏa thuận,5.0,8.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1
,Nam Hồng,Đông Anh,Ngoại thành,Tin thường,39214873,53.0,Thỏa thuận,,,,,3.0,3.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,Nhỏ,0,0,0,0,0,0,1,0,0,0,0
Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,39198598,662.8,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Trạm,Long Biên,Long Biên,Nội thành,Tin thường,39075848,35.0,Thỏa thuận,6.0,,,,5.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,1,1,0,0,,0,0,1,1,0,0,0,0,0,0,0
San Hô,Dương Xá,Gia Lâm,Ngoại thành,Tin VIP Vàng,35991115,225.0,Thỏa thuận,28.0,,,Tây - Bắc,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0
,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39166665,210.0,Thỏa thuận,,,,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0
Hoàng Đôn Hòa,Phú La,Hà Đông,Nội thành,Tin thường,36319510,80.0,Thỏa thuận,,,,,4.0,,,Khác,Khác,Biệt thự,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,37735564,396.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Kim Đồng,Giáp Bát,Hoàng Mai,Nội thành,Tin thường,36799786,102.0,Thỏa thuận,8.0,8.0,,,5.0,6.0,5.0,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1
Phan Đình Giót,La Khê,Hà Đông,Nội thành,Tin thường,39153468,68.6,Thỏa thuận,,3.0,,,4.0,,,Khác,Khác,Nhà riêng,1,1,0,0,,0,0,0,1,0,0,0,0,0,0,0
Bùi Thiện Ngộ,Giang Biên,Long Biên,Nội thành,Tin thường,38670528,202.0,Thỏa thuận,11.0,21.0,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,An Khánh,Hoài Đức,Ngoại thành,Tin thường,39164878,154.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Láng Hòa Lạc,An Khánh,Hoài Đức,Ngoại thành,Tin thường,30305781,210.0,Thỏa thuận,7.5,,,Đông,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,1
179,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,36513082,100.0,Thỏa thuận,5.0,30.0,Tây - Bắc,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Pháp Vân,Yên Sở,Hoàng Mai,Nội thành,Tin thường,38318180,151.0,Thỏa thuận,,,,,4.0,,,Hợp đồng mua bán,Chưa có nội thất,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38656635,136.0,Thỏa thuận,,,,,5.0,,,Khác,Khác,Biệt thự,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
Đại lộ Thăng Long,An Khánh,Hoài Đức,Ngoại thành,Tin thường,37598122,130.0,Thỏa thuận,6.0,10.0,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
,Kiêu Kỵ,Gia Lâm,Ngoại thành,Tin thường,38345537,90.0,Thỏa thuận,,,,,,,,Khác,Khác,Nhà riêng,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Bằng A,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,38898146,200.0,Thỏa thuận,10.0,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,Nhỏ,0,0,0,0,0,0,0,0,0,0,0
Tố Hữu,Vạn Phúc,Hà Đông,Nội thành,Tin thường,38824921,200.0,Thỏa thuận,20.0,40.0,Đông - Nam,Tây - Nam,7.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
70,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,38576218,100.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,0,0,1,0
Nguyễn Văn Huyên,Xuân La,Tây Hồ,Nội thành,Tin thường,38863862,239.7,Thỏa thuận,11.5,13.5,Nam,Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,1,,0,1,0,0,0,0,0,1,0,1,0
Lê Trọng Tấn,Phú La,Hà Đông,Nội thành,Tin thường,38903442,92.0,Thỏa thuận,4.5,42.0,,,5.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,1,1,0,0,0,0,0,0,0,0,0
Cầu Am,Vạn Phúc,Hà Đông,Nội thành,Tin thường,38922622,82.0,Thỏa thuận,5.0,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,1,0,1,0,0
Nguyễn Khang,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39204380,55.0,Thỏa thuận,11.0,12.0,,,2.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư mini,0,0,0,0,Nhỏ,0,0,0,0,0,0,0,0,0,1,0
Ngô Gia Tự,Việt Hưng,Long Biên,Nội thành,Tin thường,39188857,50.0,Thỏa thuận,,,,,,,,Khác,Khác,Nhà riêng,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0
Trần Quốc Hoàn,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,33997420,68.0,Thỏa thuận,5.0,10.0,,,6.0,6.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cao cấp,Nhà riêng,1,1,0,1,Nhỏ,1,1,0,0,0,0,0,0,1,0,1
Đỗ Quang,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,38193044,130.0,Thỏa thuận,,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,1,1,,1,0,0,1,0,1,0,0,0,0,0
Tân Mai,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,34575578,100.0,Thỏa thuận,6.0,30.0,,,5.0,5.0,5.0,Đang chờ sổ,Khác,Biệt thự,1,0,0,0,,0,1,0,1,1,0,0,0,0,0,0
,Phùng,Đan Phượng,Ngoại thành,Tin thường,38943223,200.0,Thỏa thuận,8.0,10.5,Đông - Nam,Tây - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Cổ Loa,Cổ Loa,Đông Anh,Ngoại thành,Tin thường,36638744,90.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,1,1,1,,0,0,0,0,1,0,0,0,0,0,0
Nguyễn Văn Cừ,Bồ Đề,Long Biên,Nội thành,Tin thường,39177951,63.0,Thỏa thuận,,,,,4.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,1,0,,0,0,0,0,1,1,1,0,0,0,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39165132,95.0,Thỏa thuận,,,,,,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Lê Trọng Tấn,Dương Nội,Hà Đông,Nội thành,Tin thường,29307751,200.0,Thỏa thuận,10.0,20.5,,Tây - Bắc,,,,Khác,Khác,Biệt thự,1,1,0,1,,0,1,0,0,0,0,0,0,0,0,0
Tố Hữu,Vạn Phúc,Hà Đông,Nội thành,Tin thường,33204580,91.0,Thỏa thuận,6.5,,,Đông - Nam,7.0,10.0,7.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất thô,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Bồ Đề,Bồ Đề,Long Biên,Nội thành,Tin thường,39157992,53.0,Thỏa thuận,4.25,,,,7.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0
Lê Thanh Nghị,Thanh Nhàn,Hai Bà Trưng,Nội thành,Tin thường,39225008,40.0,Thỏa thuận,3.5,5.0,,,6.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,0,0,,0,0,1,0,0,1,1,0,0,0,0
Lý Sơn,Thượng Thanh,Long Biên,Nội thành,Tin thường,27908119,161.0,Thỏa thuận,9.0,25.0,Đông - Nam,Tây - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất thô,Biệt thự,1,1,1,1,,0,1,0,1,1,1,0,1,0,1,0
Hậu Ái,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,30544321,32.0,Thỏa thuận,,2.0,,Đông,4.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,Nội thành,Tin thường,36259790,110.0,Thỏa thuận,8.7,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
,Sài Sơn,Quốc Oai,Ngoại thành,Tin thường,38191755,182.0,Thỏa thuận,10.0,15.5,,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Pháp Vân,Yên Sở,Hoàng Mai,Nội thành,Tin thường,37722098,288.0,Thỏa thuận,,,,,3.0,,,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,1,0,0,1,0,0,0,0
Thái Hà,Trung Liệt,Đống Đa,Nội thành,Tin thường,38998501,51.0,Thỏa thuận,3.5,3.0,,,5.0,6.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,1,1,1,0,,0,0,1,0,0,0,0,1,0,0,1
Láng Hòa Lạc,An Khánh,Hoài Đức,Ngoại thành,Tin thường,39199539,390.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,1,0,0,1,,0,0,0,0,1,0,0,0,0,1,0
Tố Hữu,Vạn Phúc,Hà Đông,Nội thành,Tin thường,37053585,91.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
Dự án Westpoint - Nam đường 32,Trạm Trôi,Hoài Đức,Ngoại thành,Tin thường,36972152,78.0,Thỏa thuận,6.0,,,,4.0,4.0,3.0,Hợp đồng mua bán,Khác,Biệt thự,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0
,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,39059104,75.0,Thỏa thuận,,,,,7.0,18.0,18.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Chung cư mini,1,1,1,1,,0,0,0,1,0,1,0,0,0,0,0
,Kiến Hưng,Hà Đông,Nội thành,Tin thường,37770751,300.0,Thỏa thuận,10.0,30.0,,,,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,Bồ Đề,Long Biên,Nội thành,Tin thường,38606659,56.0,Thỏa thuận,5.6,6.0,Tây,Tây,7.0,5.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,1,0,Nhỏ,0,0,0,0,0,0,1,1,1,0,0
Giáp Nhị,Thịnh Liệt,Hoàng Mai,Nội thành,Tin thường,39172498,41.0,Thỏa thuận,5.4,,,Đông,5.0,5.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,,0,0,1,1,0,0,0,1,0,1,0
Đại lộ Thăng Long,An Thượng,Hoài Đức,Ngoại thành,Tin thường,38467757,190.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
,Kiến Hưng,Hà Đông,Nội thành,Tin thường,36363417,200.0,Thỏa thuận,,,Bắc,Nam,,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Phú Thượng,Tây Hồ,Nội thành,Tin thường,39103174,91.0,Thỏa thuận,,,,,8.0,20.0,,Khác,Khác,Nhà riêng,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0
,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39214546,225.0,Thỏa thuận,28.0,,Bắc,Tây,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,1,0,1,1,0,0,0,0,0,0
Pháp Vân,Yên Sở,Hoàng Mai,Nội thành,Tin thường,38971704,237.0,Thỏa thuận,,,,,3.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,0
Nguyễn Văn Huyên,Xuân La,Tây Hồ,Nội thành,Tin thường,39125984,320.0,Thỏa thuận,16.8,60.0,,,5.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,1,0,0,1,0,0,0,0,1,0
,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,35550677,150.0,Thỏa thuận,10.0,13.0,Tây - Bắc,Tây - Bắc,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,,0,0,0,1,1,0,0,0,0,0,0
Ngọc Thụy,Ngọc Thụy,Long Biên,Nội thành,Tin thường,39161786,46.0,Thỏa thuận,4.0,8.0,,,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,1,Nhỏ,0,0,0,0,1,1,0,1,0,0,0
Trương Định,Trương Định,Hai Bà Trưng,Nội thành,Tin thường,38987612,105.0,Thỏa thuận,5.0,15.0,,,5.0,6.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,0,0,,0,0,0,0,1,1,0,0,0,0,0
21,Thạch Hòa,Thạch Thất,Ngoại thành,Tin thường,31635472,180.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0
Lê Trọng Tấn,Phú La,Hà Đông,Nội thành,Tin thường,36692613,230.0,Thỏa thuận,12.0,,,,4.0,6.0,6.0,Khác,Khác,Biệt thự,0,0,0,0,,0,0,1,1,0,1,1,0,0,0,1
179,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38686995,324.0,Thỏa thuận,32.0,30.0,Đông - Bắc,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,0,0,0,1,0,0,0,0,1,0
Đại lộ Thăng Long,An Thượng,Hoài Đức,Ngoại thành,Tin thường,39225118,250.0,Thỏa thuận,20.0,15.0,Tây - Bắc,Tây - Bắc,4.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,1,0,0,0
,Gia Thụy,Long Biên,Nội thành,Tin thường,31478663,100.0,Thỏa thuận,6.2,,,,6.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin VIP Bạc,17220770,500.0,Thỏa thuận,,,,Tây - Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,1,1,0,,0,0,0,1,1,0,1,0,0,1,0
Lê Xuân Điệp,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39162993,68.0,Thỏa thuận,5.0,6.0,,,6.0,8.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,1,Nhỏ,0,0,0,0,0,0,0,0,1,0,0
Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,30470819,82.5,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,1,1,0,0,,0,0,0,0,1,0,1,0,0,1,1
Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39032780,82.5,Thỏa thuận,,,,Tây - Bắc,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Thái Hà,Trung Liệt,Đống Đa,Nội thành,Tin thường,39193254,90.0,Thỏa thuận,,,,,,,,Khác,Khác,Nhà riêng,0,0,0,0,Nhỏ,0,0,0,0,0,1,0,0,0,1,0
Tư Đình,Long Biên,Long Biên,Nội thành,Tin thường,38186180,60.0,Thỏa thuận,4.5,4.0,,,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,1,0,,0,0,0,1,0,1,1,1,0,0,1
Tố Hữu,Vạn Phúc,Hà Đông,Nội thành,Tin thường,39182749,170.0,Thỏa thuận,12.0,,,,4.0,7.0,5.0,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
,Đông Anh,Đông Anh,Ngoại thành,Tin thường,36884417,75.0,Thỏa thuận,5.0,,,Nam,5.0,6.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0
Văn Phú,Phú La,Hà Đông,Nội thành,Tin thường,39159151,61.0,Thỏa thuận,,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,1,0,0,0,Nhỏ,0,0,1,1,0,1,0,0,0,0,0
Bùi Thiện Ngộ,Việt Hưng,Long Biên,Nội thành,Tin thường,39045147,230.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tân Bình,Xuân Mai,Chương Mỹ,Ngoại thành,Tin thường,36860879,95.0,Thỏa thuận,,,,,,3.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0
Quốc lộ 32,Đức Thượng,Hoài Đức,Ngoại thành,Tin thường,33276756,100.0,Thỏa thuận,5.0,12.0,,Tây - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Mai Dịch,Mai Dịch,Cầu Giấy,Nội thành,Tin thường,39091484,48.0,Thỏa thuận,4.1,,,,4.0,5.0,5.0,Khác,Khác,Nhà riêng,0,0,0,0,,1,0,1,0,0,1,0,0,1,0,0
Phú Đô,Phú Đô,Nam Từ Liêm,Nội thành,Tin thường,39233398,40.0,Thỏa thuận,,3.0,Đông - Bắc,Đông - Bắc,5.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,1,0,Nhỏ,0,0,0,1,0,0,0,0,0,0,0
,Mỹ Hưng,Thanh Oai,Ngoại thành,Tin thường,38730272,42.0,Thỏa thuận,4.0,3.0,,,3.0,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,1
Nguyễn Xiển,Hạ Đình,Thanh Xuân,Nội thành,Tin thường,39196570,65.0,Thỏa thuận,4.8,12.0,,,5.0,7.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,1,0,0,Nhỏ,1,0,1,0,0,0,0,0,0,0,0
,Quảng An,Tây Hồ,Nội thành,Tin thường,39058586,640.0,Thỏa thuận,20.0,,,,9.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
